mut_type,mut_class,host,segment,actual_count,evo_opp,rate
AC,nonsynonymous,all,HA,4859,52117.38949000244,0.09323183773301022
AC,nonsynonymous,all,MP,471,12003.221654749745,0.03923946533251117
AC,nonsynonymous,all,NA,2419,28426.06470864561,0.0850979558652829
AC,nonsynonymous,all,NP,1391,31257.223560910308,0.04450171325323847
AC,nonsynonymous,all,NS,1744,9895.104191616767,0.17624877578121254
AC,nonsynonymous,all,PA,2766,41934.003258845434,0.06596079040978632
AC,nonsynonymous,all,PB1,1760,40884.34346103038,0.04304826373640008
AC,nonsynonymous,all,PB2,2224,46934.798418972336,0.04738488445496333
AC,nonsynonymous,avian,HA,766,9706.42192539809,0.0789168249523198
AC,nonsynonymous,avian,MP,140,4053.585291113381,0.0345373268219914
AC,nonsynonymous,avian,NA,428,5501.54132439885,0.07779638009840222
AC,nonsynonymous,avian,NP,279,8796.506024096385,0.0317171385133747
AC,nonsynonymous,avian,NS,519,3263.9556886227547,0.1590095116208502
AC,nonsynonymous,avian,PA,632,10200.485102420856,0.061957837657153084
AC,nonsynonymous,avian,PB1,560,11344.803170409512,0.04936180836179159
AC,nonsynonymous,avian,PB2,661,10543.465085638998,0.0626928618467502
AC,nonsynonymous,human,HA,3512,37403.39119673874,0.09389522948673747
AC,nonsynonymous,human,MP,256,5886.015321756895,0.043492921102962316
AC,nonsynonymous,human,NA,1680,19152.588912179326,0.08771660101427181
AC,nonsynonymous,human,NP,974,18717.26840696118,0.052037507761429416
AC,nonsynonymous,human,NS,960,4982.718562874252,0.19266590875769424
AC,nonsynonymous,human,PA,1934,27995.403165735566,0.06908277007301977
AC,nonsynonymous,human,PB1,1031,25830.073976221927,0.03991471340535435
AC,nonsynonymous,human,PB2,1367,32453.660518225737,0.042121596706550336
AC,nonsynonymous,swine,HA,401,3687.9405182567725,0.10873277321445139
AC,nonsynonymous,swine,MP,36,1443.0040858018385,0.024947954308802783
AC,nonsynonymous,swine,NA,231,2930.2795196453226,0.07883206992756785
AC,nonsynonymous,swine,NP,100,2528.661311914324,0.039546616831929525
AC,nonsynonymous,swine,NS,157,1125.2850299401198,0.13952020672340634
AC,nonsynonymous,swine,PA,104,2322.270018621974,0.044783767247580104
AC,nonsynonymous,swine,PB1,88,2269.9991193306914,0.038766534863655264
AC,nonsynonymous,swine,PB2,96,2548.6987263943784,0.03766628005335505
AC,synonymous,all,HA,3543,14493.155948885302,0.2444602136688179
AC,synonymous,all,MP,944,3060.9193054136877,0.3084040792354103
AC,synonymous,all,NA,2019,8504.071112416736,0.23741570046986932
AC,synonymous,all,NP,2603,11520.854752342704,0.2259380971251889
AC,synonymous,all,NS,599,1928.6131736526947,0.3105858697758061
AC,synonymous,all,PA,2650,10903.886405959032,0.2430326125326985
AC,synonymous,all,PB1,2759,12330.778071334214,0.22374905979485127
AC,synonymous,all,PB2,3450,15805.971014492754,0.21827194272573563
AC,synonymous,avian,HA,650,2588.911625820885,0.2510707563429863
AC,synonymous,avian,MP,348,1048.2890704800818,0.3319695013519768
AC,synonymous,avian,NA,416,1721.7298983819487,0.24161745718126254
AC,synonymous,avian,NP,719,3322.673360107095,0.216392019941685
AC,synonymous,avian,NS,231,623.8706586826347,0.3702690562299878
AC,synonymous,avian,PA,754,2517.020484171322,0.2995605338699654
AC,synonymous,avian,PB1,899,3424.599295464553,0.262512464214605
AC,synonymous,avian,PB2,925,3668.89503732982,0.2521195048068763
AC,synonymous,human,HA,2543,10503.96096431356,0.24209914799185342
AC,synonymous,human,MP,472,1499.5097037793666,0.3147695535483168
AC,synonymous,human,NA,1336,5666.034644738507,0.23579100442681067
AC,synonymous,human,NP,1552,6784.635876840696,0.22875214354505602
AC,synonymous,human,NS,267,999.1317365269462,0.2672320278085763
AC,synonymous,human,PA,1651,7440.47113594041,0.22189455073953837
AC,synonymous,human,PB1,1575,7775.196829590489,0.20256721913533263
AC,synonymous,human,PB2,2212,10744.461572244181,0.20587350842355728
AC,synonymous,swine,HA,240,1032.4935217903417,0.232446979022048
AC,synonymous,swine,MP,85,349.18692543411646,0.2434226307136965
AC,synonymous,swine,NA,198,842.5827000929901,0.23499176992139537
AC,synonymous,swine,NP,216,950.8480589022757,0.22716563175126553
AC,synonymous,swine,NS,67,202.97604790419163,0.3300882083960232
AC,synonymous,swine,PA,155,588.0353817504655,0.2635895811891379
AC,synonymous,swine,PB1,165,696.0889476001761,0.23703867238353815
AC,synonymous,swine,PB2,178,903.1023276240668,0.19709837363423985
AG,nonsynonymous,all,HA,29512,47345.0306319365,0.6233389144771773
AG,nonsynonymous,all,MP,3895,11602.463738508683,0.33570456135729687
AG,nonsynonymous,all,NA,18302,27103.411420611315,0.6752655492688971
AG,nonsynonymous,all,NP,8292,28909.922356091032,0.2868219394665015
AG,nonsynonymous,all,NS,12631,9484.352095808383,1.331772573646046
AG,nonsynonymous,all,PA,17385,37605.71648044693,0.46229673642940217
AG,nonsynonymous,all,PB1,14235,37793.83311316601,0.37664875000575265
AG,nonsynonymous,all,PB2,18438,42861.56741326307,0.43017558882586626
AG,nonsynonymous,avian,HA,4071,8914.013242914496,0.4566966515599386
AG,nonsynonymous,avian,MP,1187,3953.0,0.3002782696686061
AG,nonsynonymous,avian,NA,3713,5251.143159333312,0.7070841314620347
AG,nonsynonymous,avian,NP,2318,8363.600401606425,0.27715336561928205
AG,nonsynonymous,avian,NS,3593,3117.446706586826,1.1525457652278004
AG,nonsynonymous,avian,PA,4202,9128.482774674116,0.4603174595079422
AG,nonsynonymous,avian,PB1,4141,10554.958608542493,0.3923274504031258
AG,nonsynonymous,avian,PB2,4573,9744.297760210804,0.46930010889784934
AG,nonsynonymous,human,HA,22111,33909.13518211744,0.6520661727657571
AG,nonsynonymous,human,MP,2107,5691.282941777324,0.37021529619154864
AG,nonsynonymous,human,NA,12382,18292.867528911134,0.6768758359196967
AG,nonsynonymous,human,NP,4980,17070.68607764391,0.2917281694097756
AG,nonsynonymous,human,NS,7147,4788.717365269461,1.4924664487059027
AG,nonsynonymous,human,PA,11862,25101.77886405959,0.47255615087040154
AG,nonsynonymous,human,PB1,8837,23797.459269044473,0.37134216304742634
AG,nonsynonymous,human,PB2,12432,29491.56829161177,0.42154421484380705
AG,nonsynonymous,swine,HA,2394,3311.7161366313308,0.7228880439116291
AG,nonsynonymous,swine,MP,397,1358.7640449438202,0.29217729264863973
AG,nonsynonymous,swine,NA,1583,2750.6046122440034,0.5755098326213283
AG,nonsynonymous,swine,NP,626,2319.947121820616,0.26983373634341135
AG,nonsynonymous,swine,NS,1255,1080.740119760479,1.1612412429716605
AG,nonsynonymous,swine,PA,686,2105.705772811918,0.32578150701649505
AG,nonsynonymous,swine,PB1,688,2097.737560546015,0.32797238936834505
AG,nonsynonymous,swine,PB2,739,2339.5252525252527,0.31587605186237383
AG,synonymous,all,HA,38304,19265.514806951247,1.9882157515032726
AG,synonymous,all,MP,9294,3461.6772216547497,2.6848257087231504
AG,synonymous,all,NA,22081,9826.72440045103,2.247035644857051
AG,synonymous,all,NP,30740,13868.155957161982,2.2165888597557077
AG,synonymous,all,NS,6714,2339.365269461078,2.8700092660376684
AG,synonymous,all,PA,34816,15232.173184357542,2.2856882979609097
AG,synonymous,all,PB1,33395,15421.28841919859,2.1655129644307283
AG,synonymous,all,PB2,42295,19879.20202020202,2.1276004920629195
AG,synonymous,avian,HA,7163,3381.3203083044796,2.118403270582726
AG,synonymous,avian,MP,3588,1148.8743615934627,3.1230568980785027
AG,synonymous,avian,NA,4721,1972.1280634474865,2.393860767716675
AG,synonymous,avian,NP,8886,3755.578982597055,2.366079915021561
AG,synonymous,avian,NS,2243,770.3796407185629,2.9115515019424283
AG,synonymous,avian,PA,8947,3589.0228119180633,2.4928791119102693
AG,synonymous,avian,PB1,10097,4214.443857331572,2.3958084012520318
AG,synonymous,avian,PB2,10271,4468.062362758015,2.298759320283969
AG,synonymous,human,HA,27325,13998.216978934857,1.9520343227369517
AG,synonymous,human,MP,3994,1694.2420837589377,2.3573962884564255
AG,synonymous,human,NA,14290,6525.756028006701,2.1897845918038246
AG,synonymous,human,NP,18158,8431.218206157966,2.1536626802918963
AG,synonymous,human,NS,3401,1193.1329341317364,2.850478687418822
AG,synonymous,human,PA,22926,10334.095437616388,2.2184815437787364
AG,synonymous,human,PB1,20253,9807.811536767944,2.064986661303053
AG,synonymous,human,PB2,28315,13706.553798858147,2.0658000848002245
AG,synonymous,swine,HA,2809,1408.7179034157832,1.994011713196012
AG,synonymous,swine,MP,1161,433.4269662921348,2.678651976668827
AG,synonymous,swine,NA,2344,1022.2576074943095,2.2929641049534064
AG,synonymous,swine,NP,2504,1159.562248995984,2.1594355992255765
AG,synonymous,swine,NS,691,247.52095808383234,2.791682794658409
AG,synonymous,swine,PA,1722,804.5996275605214,2.1401948758303053
AG,synonymous,swine,PB1,1851,868.3505063848525,2.131627708384888
AG,synonymous,swine,PB2,2424,1112.2758014931928,2.1793155948784118
AT,nonsense,all,HA,5,5937.649113437989,0.0008420841151903171
AT,nonsense,all,MP,33,1457.4514811031665,0.022642263175047042
AT,nonsense,all,NA,5,3104.469565011042,0.0016105810977670885
AT,nonsense,all,NP,0,4236.084337349397,0.0
AT,nonsense,all,NS,49,1545.585628742515,0.03170319333252748
AT,nonsense,all,PA,0,5245.1610800744875,0.0
AT,nonsense,all,PB1,7,5067.011889035667,0.0013814848185272782
AT,nonsense,all,PB2,1,6176.740447957839,0.00016189768833991093
AT,nonsense,avian,HA,4,1053.5558671522658,0.003796666246861589
AT,nonsense,avian,MP,1,461.26251276813076,0.0021679628678229136
AT,nonsense,avian,NA,0,561.2335283883723,0.0
AT,nonsense,avian,NP,0,1219.1753681392236,0.0
AT,nonsense,avian,NS,12,522.0299401197605,0.02298718728134069
AT,nonsense,avian,PA,0,1273.808193668529,0.0
AT,nonsense,avian,PB1,4,1348.5790400704536,0.002966084953975726
AT,nonsense,avian,PB2,1,1347.0228370663153,0.0007423779111109227
AT,nonsense,human,HA,1,4327.287192264304,0.00023109166449309277
AT,nonsense,human,MP,32,739.9387129724208,0.043246824958586415
AT,nonsense,human,NA,3,2139.3144201780165,0.0014023184117790241
AT,nonsense,human,NP,0,2494.377510040161,0.0
AT,nonsense,human,NS,28,767.3401197604791,0.03648968596707813
AT,nonsense,human,PA,0,3510.7490689013034,0.0
AT,nonsense,human,PB1,3,3263.5777190664903,0.0009192365735534303
AT,nonsense,human,PB2,0,4323.750109793588,0.0
AT,nonsense,swine,HA,0,403.8710247349823,0.0
AT,nonsense,swine,MP,0,183.64964249233913,0.0
AT,nonsense,swine,NA,0,316.04161852787666,0.0
AT,nonsense,swine,NP,0,350.63587684069614,0.0
AT,nonsense,swine,NS,5,172.00239520958084,0.02906936263246578
AT,nonsense,swine,PA,0,280.41480446927375,0.0
AT,nonsense,swine,PB1,0,276.7582562747688,0.0
AT,nonsense,swine,PB2,0,323.5669740887132,0.0
AT,nonsynonymous,all,HA,3675,48572.25062415127,0.07566048418132602
AT,nonsynonymous,all,MP,422,11456.097037793666,0.03683628015787767
AT,nonsynonymous,all,NA,1755,26791.090616601075,0.06550685170362254
AT,nonsynonymous,all,NP,786,30657.808567603748,0.025637840299863112
AT,nonsynonymous,all,NS,1312,8744.379640718564,0.1500392313584623
AT,nonsynonymous,all,PA,1860,39032.53258845438,0.047652557409256564
AT,nonsynonymous,all,PB1,1346,38491.74020255394,0.03496854111861361
AT,nonsynonymous,all,PB2,1886,44784.593324549845,0.04211269680026635
AT,nonsynonymous,avian,HA,721,9127.471543246522,0.07899230324453575
AT,nonsynonymous,avian,MP,79,3902.053115423902,0.020245752085672926
AT,nonsynonymous,avian,NA,304,5271.3513526940305,0.057670221478337745
AT,nonsynonymous,avian,NP,186,8804.036144578313,0.021126673828405648
AT,nonsynonymous,avian,NS,359,2878.325748502994,0.1247252852415035
AT,nonsynonymous,avian,PA,397,9445.089385474861,0.04203242381279385
AT,nonsynonymous,avian,PB1,384,10724.729194187583,0.03580509988150696
AT,nonsynonymous,avian,PB2,374,10059.127360562143,0.03718016350665824
AT,nonsynonymous,human,HA,2527,34767.3698155067,0.07268309375743819
AT,nonsynonymous,human,MP,288,5604.504596527068,0.05138723593490571
AT,nonsynonymous,human,NA,1216,17945.867144221644,0.0677593336798739
AT,nonsynonymous,human,NP,490,18184.494645247658,0.026946033395987543
AT,nonsynonymous,human,NS,800,4409.784431137725,0.18141476357691252
AT,nonsynonymous,human,PA,1304,26103.3552141527,0.0499552639613546
AT,nonsynonymous,human,PB1,850,24267.99867899604,0.0350255499533909
AT,nonsynonymous,human,PB2,1343,30960.09486166008,0.04337842005978881
AT,nonsynonymous,swine,HA,303,3444.0147232037693,0.08797871796498491
AT,nonsynonymous,swine,MP,36,1355.796731358529,0.026552652892095005
AT,nonsynonymous,swine,NA,176,2769.5353534404753,0.06354856592870813
AT,nonsynonymous,swine,NP,73,2461.9906291834004,0.029650803351844127
AT,nonsynonymous,swine,NS,88,996.8491017964072,0.08827815548152321
AT,nonsynonymous,swine,PA,93,2170.794227188082,0.042841462739868566
AT,nonsynonymous,swine,PB1,64,2141.929106120652,0.029879607040736004
AT,nonsynonymous,swine,PB2,94,2440.751427316645,0.03851272970609028
