site,codon_position,codon_site,gene
1,1,1,HA
2,2,1,HA
3,3,1,HA
4,1,2,HA
5,2,2,HA
6,3,2,HA
7,1,3,HA
8,2,3,HA
9,3,3,HA
10,1,4,HA
11,2,4,HA
12,3,4,HA
13,1,5,HA
14,2,5,HA
15,3,5,HA
16,1,6,HA
17,2,6,HA
18,3,6,HA
19,1,7,HA
20,2,7,HA
21,3,7,HA
22,1,8,HA
23,2,8,HA
24,3,8,HA
25,1,9,HA
26,2,9,HA
27,3,9,HA
28,1,10,HA
29,2,10,HA
30,3,10,HA
31,1,11,HA
32,2,11,HA
33,3,11,HA
34,1,12,HA
35,2,12,HA
36,3,12,HA
37,1,13,HA
38,2,13,HA
39,3,13,HA
40,1,14,HA
41,2,14,HA
42,3,14,HA
43,1,15,HA
44,2,15,HA
45,3,15,HA
46,1,16,HA
47,2,16,HA
48,3,16,HA
49,1,17,HA
50,2,17,HA
51,3,17,HA
52,1,18,HA
53,2,18,HA
54,3,18,HA
55,1,19,HA
56,2,19,HA
57,3,19,HA
58,1,20,HA
59,2,20,HA
60,3,20,HA
61,1,21,HA
62,2,21,HA
63,3,21,HA
64,1,22,HA
65,2,22,HA
66,3,22,HA
67,1,23,HA
68,2,23,HA
69,3,23,HA
70,1,24,HA
71,2,24,HA
72,3,24,HA
73,1,25,HA
74,2,25,HA
75,3,25,HA
76,1,26,HA
77,2,26,HA
78,3,26,HA
79,1,27,HA
80,2,27,HA
81,3,27,HA
82,1,28,HA
83,2,28,HA
84,3,28,HA
85,1,29,HA
86,2,29,HA
87,3,29,HA
88,1,30,HA
89,2,30,HA
90,3,30,HA
91,1,31,HA
92,2,31,HA
93,3,31,HA
94,1,32,HA
95,2,32,HA
96,3,32,HA
97,1,33,HA
98,2,33,HA
99,3,33,HA
100,1,34,HA
101,2,34,HA
102,3,34,HA
103,1,35,HA
104,2,35,HA
105,3,35,HA
106,1,36,HA
107,2,36,HA
108,3,36,HA
109,1,37,HA
110,2,37,HA
111,3,37,HA
112,1,38,HA
113,2,38,HA
114,3,38,HA
115,1,39,HA
116,2,39,HA
117,3,39,HA
118,1,40,HA
119,2,40,HA
120,3,40,HA
121,1,41,HA
122,2,41,HA
123,3,41,HA
124,1,42,HA
125,2,42,HA
126,3,42,HA
127,1,43,HA
128,2,43,HA
129,3,43,HA
130,1,44,HA
131,2,44,HA
132,3,44,HA
133,1,45,HA
134,2,45,HA
135,3,45,HA
136,1,46,HA
137,2,46,HA
138,3,46,HA
139,1,47,HA
140,2,47,HA
141,3,47,HA
142,1,48,HA
143,2,48,HA
144,3,48,HA
145,1,49,HA
146,2,49,HA
147,3,49,HA
148,1,50,HA
149,2,50,HA
150,3,50,HA
151,1,51,HA
152,2,51,HA
153,3,51,HA
154,1,52,HA
155,2,52,HA
156,3,52,HA
157,1,53,HA
158,2,53,HA
159,3,53,HA
160,1,54,HA
161,2,54,HA
162,3,54,HA
163,1,55,HA
164,2,55,HA
165,3,55,HA
166,1,56,HA
167,2,56,HA
168,3,56,HA
169,1,57,HA
170,2,57,HA
171,3,57,HA
172,1,58,HA
173,2,58,HA
174,3,58,HA
175,1,59,HA
176,2,59,HA
177,3,59,HA
178,1,60,HA
179,2,60,HA
180,3,60,HA
181,1,61,HA
182,2,61,HA
183,3,61,HA
184,1,62,HA
185,2,62,HA
186,3,62,HA
187,1,63,HA
188,2,63,HA
189,3,63,HA
190,1,64,HA
191,2,64,HA
192,3,64,HA
193,1,65,HA
194,2,65,HA
195,3,65,HA
196,1,66,HA
197,2,66,HA
198,3,66,HA
199,1,67,HA
200,2,67,HA
201,3,67,HA
202,1,68,HA
203,2,68,HA
204,3,68,HA
205,1,69,HA
206,2,69,HA
207,3,69,HA
208,1,70,HA
209,2,70,HA
210,3,70,HA
211,1,71,HA
212,2,71,HA
213,3,71,HA
214,1,72,HA
215,2,72,HA
216,3,72,HA
217,1,73,HA
218,2,73,HA
219,3,73,HA
220,1,74,HA
221,2,74,HA
222,3,74,HA
223,1,75,HA
224,2,75,HA
225,3,75,HA
226,1,76,HA
227,2,76,HA
228,3,76,HA
229,1,77,HA
230,2,77,HA
231,3,77,HA
232,1,78,HA
233,2,78,HA
234,3,78,HA
235,1,79,HA
236,2,79,HA
237,3,79,HA
238,1,80,HA
239,2,80,HA
240,3,80,HA
241,1,81,HA
242,2,81,HA
243,3,81,HA
244,1,82,HA
245,2,82,HA
246,3,82,HA
247,1,83,HA
248,2,83,HA
249,3,83,HA
250,1,84,HA
251,2,84,HA
252,3,84,HA
253,1,85,HA
254,2,85,HA
255,3,85,HA
256,1,86,HA
257,2,86,HA
258,3,86,HA
259,1,87,HA
260,2,87,HA
261,3,87,HA
262,1,88,HA
263,2,88,HA
264,3,88,HA
265,1,89,HA
266,2,89,HA
267,3,89,HA
268,1,90,HA
269,2,90,HA
270,3,90,HA
271,1,91,HA
272,2,91,HA
273,3,91,HA
274,1,92,HA
275,2,92,HA
276,3,92,HA
277,1,93,HA
278,2,93,HA
279,3,93,HA
280,1,94,HA
281,2,94,HA
282,3,94,HA
283,1,95,HA
284,2,95,HA
285,3,95,HA
286,1,96,HA
287,2,96,HA
288,3,96,HA
289,1,97,HA
290,2,97,HA
291,3,97,HA
292,1,98,HA
