site,codon_position,codon_site,gene
1,1,1,NA
2,2,1,NA
3,3,1,NA
4,1,2,NA
5,2,2,NA
6,3,2,NA
7,1,3,NA
8,2,3,NA
9,3,3,NA
10,1,4,NA
11,2,4,NA
12,3,4,NA
13,1,5,NA
14,2,5,NA
15,3,5,NA
16,1,6,NA
17,2,6,NA
18,3,6,NA
19,1,7,NA
20,2,7,NA
21,3,7,NA
22,1,8,NA
23,2,8,NA
24,3,8,NA
25,1,9,NA
26,2,9,NA
27,3,9,NA
28,1,10,NA
29,2,10,NA
30,3,10,NA
31,1,11,NA
32,2,11,NA
33,3,11,NA
34,1,12,NA
35,2,12,NA
36,3,12,NA
37,1,13,NA
38,2,13,NA
39,3,13,NA
40,1,14,NA
41,2,14,NA
42,3,14,NA
43,1,15,NA
44,2,15,NA
45,3,15,NA
46,1,16,NA
47,2,16,NA
48,3,16,NA
49,1,17,NA
50,2,17,NA
51,3,17,NA
52,1,18,NA
53,2,18,NA
54,3,18,NA
55,1,19,NA
56,2,19,NA
57,3,19,NA
58,1,20,NA
59,2,20,NA
60,3,20,NA
61,1,21,NA
62,2,21,NA
63,3,21,NA
64,1,22,NA
65,2,22,NA
66,3,22,NA
67,1,23,NA
68,2,23,NA
69,3,23,NA
70,1,24,NA
71,2,24,NA
72,3,24,NA
73,1,25,NA
74,2,25,NA
75,3,25,NA
76,1,26,NA
77,2,26,NA
78,3,26,NA
79,1,27,NA
80,2,27,NA
81,3,27,NA
82,1,28,NA
83,2,28,NA
84,3,28,NA
85,1,29,NA
86,2,29,NA
87,3,29,NA
88,1,30,NA
89,2,30,NA
90,3,30,NA
91,1,31,NA
92,2,31,NA
93,3,31,NA
94,1,32,NA
95,2,32,NA
96,3,32,NA
97,1,33,NA
98,2,33,NA
99,3,33,NA
100,1,34,NA
101,2,34,NA
102,3,34,NA
103,1,35,NA
104,2,35,NA
105,3,35,NA
106,1,36,NA
107,2,36,NA
108,3,36,NA
109,1,37,NA
110,2,37,NA
111,3,37,NA
112,1,38,NA
113,2,38,NA
114,3,38,NA
115,1,39,NA
116,2,39,NA
117,3,39,NA
118,1,40,NA
119,2,40,NA
120,3,40,NA
121,1,41,NA
122,2,41,NA
123,3,41,NA
124,1,42,NA
125,2,42,NA
126,3,42,NA
127,1,43,NA
128,2,43,NA
129,3,43,NA
130,1,44,NA
131,2,44,NA
132,3,44,NA
133,1,45,NA
134,2,45,NA
135,3,45,NA
136,1,46,NA
137,2,46,NA
138,3,46,NA
139,1,47,NA
140,2,47,NA
141,3,47,NA
142,1,48,NA
143,2,48,NA
144,3,48,NA
145,1,49,NA
146,2,49,NA
147,3,49,NA
148,1,50,NA
149,2,50,NA
150,3,50,NA
151,1,51,NA
152,2,51,NA
153,3,51,NA
154,1,52,NA
155,2,52,NA
156,3,52,NA
157,1,53,NA
158,2,53,NA
159,3,53,NA
160,1,54,NA
161,2,54,NA
162,3,54,NA
163,1,55,NA
164,2,55,NA
165,3,55,NA
166,1,56,NA
167,2,56,NA
168,3,56,NA
169,1,57,NA
170,2,57,NA
171,3,57,NA
172,1,58,NA
173,2,58,NA
174,3,58,NA
175,1,59,NA
176,2,59,NA
177,3,59,NA
178,1,60,NA
179,2,60,NA
180,3,60,NA
181,1,61,NA
182,2,61,NA
183,3,61,NA
184,1,62,NA
185,2,62,NA
186,3,62,NA
187,1,63,NA
188,2,63,NA
189,3,63,NA
190,1,64,NA
191,2,64,NA
192,3,64,NA
193,1,65,NA
194,2,65,NA
195,3,65,NA
196,1,66,NA
197,2,66,NA
198,3,66,NA
199,1,67,NA
200,2,67,NA
201,3,67,NA
202,1,68,NA
203,2,68,NA
204,3,68,NA
205,1,69,NA
206,2,69,NA
207,3,69,NA
208,1,70,NA
209,2,70,NA
210,3,70,NA
211,1,71,NA
212,2,71,NA
213,3,71,NA
214,1,72,NA
215,2,72,NA
216,3,72,NA
217,1,73,NA
218,2,73,NA
219,3,73,NA
220,1,74,NA
221,2,74,NA
222,3,74,NA
223,1,75,NA
224,2,75,NA
225,3,75,NA
226,1,76,NA
227,2,76,NA
228,3,76,NA
229,1,77,NA
230,2,77,NA
231,3,77,NA
232,1,78,NA
233,2,78,NA
234,3,78,NA
235,1,79,NA
236,2,79,NA
237,3,79,NA
238,1,80,NA
239,2,80,NA
240,3,80,NA
241,1,81,NA
242,2,81,NA
243,3,81,NA
244,1,82,NA
245,2,82,NA
246,3,82,NA
247,1,83,NA
248,2,83,NA
249,3,83,NA
250,1,84,NA
251,2,84,NA
252,3,84,NA
253,1,85,NA
254,2,85,NA
255,3,85,NA
256,1,86,NA
257,2,86,NA
258,3,86,NA
259,1,87,NA
260,2,87,NA
261,3,87,NA
262,1,88,NA
263,2,88,NA
264,3,88,NA
265,1,89,NA
266,2,89,NA
267,3,89,NA
268,1,90,NA
269,2,90,NA
270,3,90,NA
271,1,91,NA
272,2,91,NA
273,3,91,NA
274,1,92,NA
275,2,92,NA
276,3,92,NA
277,1,93,NA
278,2,93,NA
