site,codon_position,codon_site,gene
1,1,1,PB2
2,2,1,PB2
3,3,1,PB2
4,1,2,PB2
5,2,2,PB2
6,3,2,PB2
7,1,3,PB2
8,2,3,PB2
9,3,3,PB2
10,1,4,PB2
11,2,4,PB2
12,3,4,PB2
13,1,5,PB2
14,2,5,PB2
15,3,5,PB2
16,1,6,PB2
17,2,6,PB2
18,3,6,PB2
19,1,7,PB2
20,2,7,PB2
21,3,7,PB2
22,1,8,PB2
23,2,8,PB2
24,3,8,PB2
25,1,9,PB2
26,2,9,PB2
27,3,9,PB2
28,1,10,PB2
29,2,10,PB2
30,3,10,PB2
31,1,11,PB2
32,2,11,PB2
33,3,11,PB2
34,1,12,PB2
35,2,12,PB2
36,3,12,PB2
37,1,13,PB2
38,2,13,PB2
39,3,13,PB2
40,1,14,PB2
41,2,14,PB2
42,3,14,PB2
43,1,15,PB2
44,2,15,PB2
45,3,15,PB2
46,1,16,PB2
47,2,16,PB2
48,3,16,PB2
49,1,17,PB2
50,2,17,PB2
51,3,17,PB2
52,1,18,PB2
53,2,18,PB2
54,3,18,PB2
55,1,19,PB2
56,2,19,PB2
57,3,19,PB2
58,1,20,PB2
59,2,20,PB2
60,3,20,PB2
61,1,21,PB2
62,2,21,PB2
63,3,21,PB2
64,1,22,PB2
65,2,22,PB2
66,3,22,PB2
67,1,23,PB2
68,2,23,PB2
69,3,23,PB2
70,1,24,PB2
71,2,24,PB2
72,3,24,PB2
73,1,25,PB2
74,2,25,PB2
75,3,25,PB2
76,1,26,PB2
77,2,26,PB2
78,3,26,PB2
79,1,27,PB2
80,2,27,PB2
81,3,27,PB2
82,1,28,PB2
83,2,28,PB2
84,3,28,PB2
85,1,29,PB2
86,2,29,PB2
87,3,29,PB2
88,1,30,PB2
89,2,30,PB2
90,3,30,PB2
91,1,31,PB2
92,2,31,PB2
93,3,31,PB2
94,1,32,PB2
95,2,32,PB2
96,3,32,PB2
97,1,33,PB2
98,2,33,PB2
99,3,33,PB2
100,1,34,PB2
101,2,34,PB2
102,3,34,PB2
103,1,35,PB2
104,2,35,PB2
105,3,35,PB2
106,1,36,PB2
107,2,36,PB2
108,3,36,PB2
109,1,37,PB2
110,2,37,PB2
111,3,37,PB2
112,1,38,PB2
113,2,38,PB2
114,3,38,PB2
115,1,39,PB2
116,2,39,PB2
117,3,39,PB2
118,1,40,PB2
119,2,40,PB2
120,3,40,PB2
121,1,41,PB2
122,2,41,PB2
123,3,41,PB2
124,1,42,PB2
125,2,42,PB2
126,3,42,PB2
127,1,43,PB2
128,2,43,PB2
129,3,43,PB2
130,1,44,PB2
131,2,44,PB2
132,3,44,PB2
133,1,45,PB2
134,2,45,PB2
135,3,45,PB2
136,1,46,PB2
137,2,46,PB2
138,3,46,PB2
139,1,47,PB2
140,2,47,PB2
141,3,47,PB2
142,1,48,PB2
143,2,48,PB2
144,3,48,PB2
145,1,49,PB2
146,2,49,PB2
147,3,49,PB2
148,1,50,PB2
149,2,50,PB2
150,3,50,PB2
151,1,51,PB2
152,2,51,PB2
153,3,51,PB2
154,1,52,PB2
155,2,52,PB2
156,3,52,PB2
157,1,53,PB2
158,2,53,PB2
159,3,53,PB2
160,1,54,PB2
161,2,54,PB2
162,3,54,PB2
163,1,55,PB2
164,2,55,PB2
165,3,55,PB2
166,1,56,PB2
167,2,56,PB2
168,3,56,PB2
169,1,57,PB2
170,2,57,PB2
171,3,57,PB2
172,1,58,PB2
173,2,58,PB2
174,3,58,PB2
175,1,59,PB2
176,2,59,PB2
177,3,59,PB2
178,1,60,PB2
179,2,60,PB2
180,3,60,PB2
181,1,61,PB2
182,2,61,PB2
183,3,61,PB2
184,1,62,PB2
185,2,62,PB2
186,3,62,PB2
187,1,63,PB2
188,2,63,PB2
189,3,63,PB2
190,1,64,PB2
191,2,64,PB2
192,3,64,PB2
193,1,65,PB2
194,2,65,PB2
195,3,65,PB2
196,1,66,PB2
197,2,66,PB2
198,3,66,PB2
199,1,67,PB2
200,2,67,PB2
201,3,67,PB2
202,1,68,PB2
203,2,68,PB2
204,3,68,PB2
205,1,69,PB2
206,2,69,PB2
207,3,69,PB2
208,1,70,PB2
209,2,70,PB2
210,3,70,PB2
211,1,71,PB2
212,2,71,PB2
213,3,71,PB2
214,1,72,PB2
215,2,72,PB2
216,3,72,PB2
217,1,73,PB2
218,2,73,PB2
